date,PM2.5
2014/11/09,6
2014/11/10,7
2014/11/11,15
2014/11/12,22
2014/11/13,37
2014/11/14,15
2014/11/15,10
2014/11/16,17
2014/11/17,10
2014/11/18,26
2014/11/19,8
2014/11/20,10
2014/11/21,22
2014/11/22,12
2014/11/23,29
2014/11/24,68
2014/11/25,53
2014/11/26,15
2014/11/27,9
2014/11/28,30
2014/11/29,20
2014/11/30,32
2014/12/01,18
2014/12/02,22
2014/12/03,22
2014/12/04,11
2014/12/05,32
2014/12/06,12
2014/12/07,14
2014/12/08,18
2014/12/09,22
2014/12/10,27
2014/12/11,12
2014/12/12,47
2014/12/13,25
2014/12/14,14
2014/12/15,17
2014/12/16,24
2014/12/17,19
2014/12/18,18
2014/12/20,33
2014/12/21,4
2014/12/22,30
2014/12/23,47
2014/12/24,28
2014/12/25,40
2014/12/26,12
2014/12/27,15
2014/12/28,15
2014/12/29,37
2014/12/30,31
2015/01/01,35
2015/01/02,11
2015/01/03,9
2015/01/04,43
2015/01/05,46
2015/01/06,31
2015/01/07,5
2015/01/08,42
2015/01/09,20
2015/01/10,17
2015/01/11,16
2015/01/12,27
2015/01/13,29
2015/01/14,0
2015/01/15,13
2015/01/16,16
2015/01/17,54
2015/01/18,18
2015/01/19,36
2015/01/20,35
2015/01/21,19
2015/01/22,45
2015/01/23,40
2015/01/24,41
2015/01/25,41
2015/01/26,27
2015/01/27,22
2015/01/28,7
2015/01/29,3
2015/01/30,10
2015/01/31,30
2015/02/01,4
2015/02/02,6
2015/02/03,10
2015/02/04,1
2015/02/05,69
2015/02/06,22
2015/02/07,24
2015/02/08,41
2015/02/09,34
2015/02/13,22
2015/02/14,37
2015/02/15,44
2015/02/16,27
2015/02/18,31
2015/02/19,10
2015/02/20,37
2015/02/21,11
2015/02/22,23
2015/02/23,16
2015/02/24,14
2015/02/25,26
2015/02/26,19
2015/02/27,10
2015/02/28,9
2015/03/01,5
2015/03/02,28
2015/03/03,56
2015/03/04,13
2015/03/05,6
2015/03/06,15
2015/03/07,21
2015/03/08,17
2015/03/09,0
2015/03/10,29
2015/03/11,6
2015/03/12,12
2015/03/13,8
2015/03/14,38
2015/03/15,33
2015/03/16,43
2015/03/17,51
2015/03/18,23
2015/03/19,23
2015/03/22,49
2015/03/23,13
2015/03/24,2
2015/03/25,10
2015/03/26,17
2015/03/27,1
2015/03/28,17
2015/03/29,28
2015/03/30,17
2015/03/31,18
2015/04/01,25
2015/04/02,38
2015/04/03,28
2015/04/04,12
2015/04/05,35
2015/04/06,16
2015/04/07,0
2015/04/08,4
2015/04/09,19
2015/04/10,0
2015/04/11,16
2015/04/12,6
2015/04/13,28
2015/04/14,19
2015/04/17,33
2015/04/18,38
2015/04/19,10
2015/04/20,17
2015/04/21,22
2015/04/22,10
2015/04/23,8
2015/04/24,30
2015/04/25,25
2015/04/26,22
2015/04/27,29
2015/04/28,32
2015/04/29,24
2015/04/30,46
2015/05/01,72
2015/05/02,37
2015/05/03,15
2015/05/04,13
2015/05/05,15
2015/05/06,25
2015/05/07,26
2015/05/08,68
2015/05/09,21
2015/05/10,13
2015/05/11,28
2015/05/12,17
2015/05/13,30
2015/05/14,33
2015/05/15,24
2015/05/16,15
2015/05/17,12
2015/05/18,15
2015/05/19,21
2015/05/20,7
2015/05/21,19
2015/05/22,19
2015/05/23,8
2015/05/24,1
2015/05/25,12
2015/05/26,34
2015/05/27,14
2015/05/28,7
2015/05/29,18
2015/05/30,14
2015/05/31,10
2015/06/01,11
2015/06/02,26
2015/06/03,12
2015/06/04,18
2015/06/05,18
2015/06/06,27
2015/06/07,17
2015/06/08,15
2015/06/09,19
2015/06/10,13
2015/06/11,11
2015/06/12,20
2015/06/13,21
2015/06/14,16
2015/06/15,13
2015/06/16,10
2015/06/17,17
2015/06/18,12
2015/06/19,5
2015/06/20,20
2015/06/21,15
2015/06/22,16
2015/06/23,26
2015/06/24,11
2015/06/25,18
2015/06/26,20
2015/06/27,20
2015/06/28,19
2015/06/29,10
2015/06/30,16
2015/07/01,9
2015/07/02,19
2015/07/03,8
2015/07/04,19
2015/07/05,8
2015/07/06,21
2015/07/07,15
2015/07/08,7
2015/07/09,11
2015/07/10,7
2015/07/11,13
2015/07/12,23
2015/07/13,24
2015/07/14,28
2015/07/15,34
2015/07/16,32
2015/07/17,48
2015/07/18,50
2015/07/19,25
2015/07/20,14
2015/07/21,9
2015/07/22,6
2015/07/23,10
2015/07/24,12
2015/07/25,19
2015/07/26,14
2015/07/27,22
2015/07/28,18
2015/07/29,19
2015/07/30,30
2015/07/31,11
2015/08/01,9
2015/08/02,18
2015/08/03,26
2015/08/04,20
2015/08/05,29
2015/08/06,19
2015/08/07,9
2015/08/08,1
2015/08/09,10
2015/08/10,32
2015/08/11,12
2015/08/12,23
2015/08/13,10
2015/08/14,12
2015/08/15,5
2015/08/16,2
2015/08/17,13
2015/08/18,14
2015/08/19,20
2015/08/20,4
2015/08/21,13
2015/08/22,1
2015/08/23,6
2015/08/25,8
