date,data
2002/05/03,"[0.0933523922764228, 0.395404, 0.505832, 0, 0, 0.73218, 0, 0, 0, 0, 0, 0, 0, 0, 1.04612, 0, 0, 1.175858, 0, 0, 1.303307, 1.392207, 3.86686, 0, 0, 0, 0, 0, 0, 0, 1.240845, 0.77895, 1.118778, 1.314197, 0.632016, 1.122678, 0.0, 12.0]"
2002/05/04,"[0.0933523922764228, 0.048686, 0.052509, 0, 0, 0.068404, 0, 0, 0, 0, 0, 0, 0, 0, 0.109334, 0, 0, 0.129185, 0, 0, 0.157837, 0.188953, 3.424336, 0, 0, 0, 0, 0, 0, 0, 1.358482, 1.32568, 1.506865, 1.341669, 1.45318, 1.122678, 0.0, 29.0]"
2002/05/05,"[0.0933523922764228, 0.046163, 0.049935, 0, 0, 0.061953, 0, 0, 0, 0, 0, 0, 0, 0, 0.093609, 0, 0, 0.107211, 0, 0, 0.128676, 0.157318, 3.974247, 0, 0, 0, 0, 0, 0, 0, 1.153927, 1.139197, 1.297081, 1.14647, 1.456046, 1.122678, 0.0, 15.0]"
2002/05/06,"[0.0933523922764228, 0.406272, 0.518849, 0, 0, 0.7306, 0, 0, 0, 0, 0, 0, 0, 0, 0.995977, 0, 0, 1.096324, 0, 0, 1.194732, 1.258333, 3.876454, 0, 0, 0, 0, 0, 0, 0, 1.213399, 0.848347, 1.143396, 1.269653, 0.769013, 1.122678, 0.0, 11.0]"
2002/05/07,"[0.0933523922764228, 0.370917, 0.472895, 0, 0, 0.689527, 0, 0, 0, 0, 0, 0, 0, 0, 1.000049, 0, 0, 1.136076, 0, 0, 1.278595, 1.386267, 3.875269, 0, 0, 0, 0, 0, 0, 0, 1.302363, 0.89606, 1.195321, 1.368073, 0.789253, 1.122678, 0.0, 11.0]"
2002/05/08,"[0.0933523922764228, 0.127334, 0.142111, 0, 0, 0.183626, 0, 0, 0, 0, 0, 0, 0, 0, 0.261741, 0, 0, 0.295017, 0, 0, 0.340513, 0.385991, 3.841512, 0, 0, 0, 0, 0, 0, 0, 1.096194, 0.98981, 1.155385, 1.111279, 1.141558, 1.122678, 0.0, 5.0]"
2002/05/10,"[0.0933523922764228, 0.52369, 0.672717, 0, 0, 0.970727, 0, 0, 0, 0, 0, 0, 0, 0, 1.352649, 0, 0, 1.491464, 0, 0, 1.623644, 1.712061, 4.176417, 0, 0, 0, 0, 0, 0, 0, 1.173757, 0.654382, 1.022224, 1.263769, 0.531909, 1.122678, 0.0, 5.0]"
2002/05/13,"[0.0933523922764228, 0.106738, 0.124754, 0, 0, 0.17963, 0, 0, 0, 0, 0, 0, 0, 0, 0.279493, 0, 0, 0.324575, 0, 0, 0.383132, 0.441123, 4.867634, 0, 0, 0, 0, 0, 0, 0, 1.416981, 1.140191, 1.399609, 1.459468, 1.192658, 1.122678, 0.0, 5.0]"
2002/05/22,"[0.0933523922764228, 0.344989, 0.350298, 0, 0, 0.371359, 0, 0, 0, 0, 0, 0, 0, 0, 0.425576, 0, 0, 0.454259, 0, 0, 0.495799, 0.527361, 4.264329, 0, 0, 0, 0, 0, 0, 0, 0.391511, 0.554464, 0.473023, 0.360122, 0.561379, 1.122678, 0.0, 16.0]"
2002/05/26,"[0.0933523922764228, 0.247658, 0.312874, 0, 0, 0.472842, 0, 0, 0, 0, 0, 0, 0, 0, 0.739788, 0, 0, 0.870355, 0, 0, 1.028751, 1.142545, 2.721335, 0, 0, 0, 0, 0, 0, 0, 1.513152, 1.172145, 1.444205, 1.563823, 1.041099, 1.122678, 0.0, 21.0]"
